NO,Original ASF,Rounding ASF,Payment Method_encoded,Channel_encoded,Order ID_encoded,SLS Tracking Number_encoded,Shopee Order SN_encoded,Sort Code Name_encoded,SOC Received time_encoded,OnHoldReason_encoded,Status_encoded,Order Account_encoded,Current Station_encoded,Pickup Station_encoded,Destination Station_encoded,Next Station_encoded
819.0,12100.0,12100.0,1,0,674,20,566,14,784,0,1,0,4,15,10,29
820.0,20300.0,20300.0,0,0,818,599,446,61,724,0,0,2,2,62,30,9
821.0,8100.0,8100.0,1,0,724,14,598,159,941,0,3,0,3,111,80,29
822.0,21300.0,21300.0,0,0,875,253,924,34,474,0,2,2,2,63,30,9
823.0,19300.0,19300.0,1,0,933,183,810,93,215,0,3,0,2,6,2,0
824.0,21300.0,21300.0,0,0,422,414,719,293,473,0,3,2,2,117,155,41
825.0,44600.0,44600.0,1,0,729,309,289,302,56,0,1,2,1,88,30,29
826.0,22400.0,22400.0,1,0,728,504,913,60,84,0,4,2,2,24,64,20
827.0,14700.0,14700.0,1,0,607,1,556,153,326,0,0,0,2,27,80,23
828.0,24400.0,24400.0,0,0,932,809,922,125,51,0,0,0,2,127,79,22
829.0,14700.0,14700.0,1,0,811,683,439,230,965,0,2,0,1,86,119,29
830.0,12100.0,12100.0,1,0,874,810,300,275,38,0,3,0,2,77,153,39
831.0,23400.0,23400.0,1,0,112,104,389,95,830,0,2,2,1,61,64,29
832.0,14200.0,14200.0,1,0,955,935,84,292,734,0,2,0,4,80,155,29
833.0,24400.0,24400.0,1,0,157,969,647,273,0,0,4,0,2,30,152,38
834.0,18200.0,18200.0,0,0,37,927,876,210,202,0,2,2,2,128,107,26
835.0,15200.0,15200.0,0,0,579,396,220,217,646,0,1,2,2,116,157,42
836.0,22300.0,22300.0,0,0,664,207,520,105,761,0,2,0,1,6,70,29
837.0,21300.0,21300.0,0,0,606,833,776,112,722,0,4,2,1,95,38,29
838.0,21300.0,21300.0,0,0,834,793,868,110,723,0,1,2,1,95,30,29
839.0,42600.0,42600.0,0,0,534,128,748,61,683,0,2,2,1,95,30,29
840.0,18300.0,18300.0,1,0,126,340,891,236,553,0,4,0,2,125,112,28
841.0,18300.0,18300.0,0,0,577,118,427,128,783,0,1,2,4,77,152,29
842.0,17300.0,17300.0,0,0,77,111,557,285,718,0,1,2,1,95,80,29
843.0,22400.0,22400.0,1,0,355,156,574,216,721,0,4,2,1,95,111,29
844.0,16200.0,16200.0,1,0,396,461,283,278,682,0,2,2,2,54,112,28
845.0,21300.0,21300.0,1,0,529,839,562,61,720,0,1,2,1,95,30,29
846.0,22400.0,22400.0,0,0,758,101,578,265,717,0,1,2,1,95,37,29
847.0,46800.0,46800.0,0,0,143,647,257,51,67,0,3,2,3,88,16,29
848.0,17200.0,17200.0,0,0,294,521,402,270,375,0,1,2,2,104,149,36
849.0,21300.0,21300.0,1,0,206,334,500,50,34,0,2,2,2,75,55,18
850.0,22300.0,22300.0,0,0,812,954,710,256,758,0,1,0,1,56,42,29
851.0,22300.0,22300.0,0,0,964,325,825,142,551,0,1,0,2,56,149,36
852.0,14700.0,14700.0,0,0,792,892,906,153,308,0,1,0,1,124,80,29
853.0,23400.0,23400.0,0,0,555,31,399,248,569,0,4,2,2,87,52,17
854.0,21300.0,21300.0,0,0,995,566,416,112,259,0,4,2,2,56,38,9
855.0,16200.0,16200.0,1,0,349,190,256,1,322,0,3,0,2,27,2,0
856.0,22400.0,22400.0,1,0,987,916,358,73,40,0,4,2,2,24,64,20
857.0,22400.0,22400.0,1,0,278,753,682,282,769,0,4,2,2,56,107,26
858.0,23400.0,23400.0,0,0,480,347,819,97,579,0,3,2,2,56,42,13
859.0,21300.0,21300.0,0,0,588,86,600,156,613,0,3,2,2,56,98,25
860.0,23400.0,23400.0,0,0,673,326,835,142,469,0,4,2,2,87,149,36
861.0,20300.0,20300.0,0,0,498,870,915,76,39,0,3,2,2,113,157,42
862.0,22300.0,22300.0,0,0,901,552,239,301,487,0,0,2,2,119,79,22
863.0,9100.0,9100.0,1,0,959,631,588,228,855,0,3,2,2,17,118,30
